optimization_applied,fallback_reason,verification_method,query_evaluation_basis,query_complexity_unit,largest_intermediate,promotion_count,family,n,rqm_available,rqm_method,exact_valid,abs_error,C_R,rqm_work_units,rqm_ops,rqm_depth,qiskit_ops,qiskit_depth,rqm_compile_ns,rqm_readout_ns,qiskit_compile_ns,aer_execute_ns,end_to_end_speedup,compile_speedup
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,4,0,local,4,True,bounded_frontier_transfer,True,0.0,16,0,4,1,12,3,1282880,250697,3959430,570700,2.9539631854155353,3.086360376652532
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,4,0,local,8,True,bounded_frontier_transfer,True,4.336808689942018e-18,32,0,8,1,24,3,2316947,488705,3913050,967176,1.739426700103933,1.6888819640673698
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,4,0,local,12,True,bounded_frontier_transfer,True,2.1141942363467336e-18,48,0,12,1,36,3,3852008,657450,4336567,1913530,1.3859973859386205,1.1257938716638178
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,256,0,clifford,4,True,bounded_frontier_transfer,True,1.3877787807814457e-17,31,5,9,5,28,12,1223441,488455,4299261,688907,2.913826540864632,3.5140730121027497
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,8,True,general_pauli_promoted,True,6.938893903907228e-18,65,1,19,9,58,16,1852739,3444805,4569688,1165494,1.0826114893996162,2.4664499424905504
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,12,True,general_pauli_promoted,True,1.2468324983583301e-18,99,1,29,13,88,20,2829569,4792984,5078454,3074698,1.0696090929115218,1.794780053075221
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,4,True,direct_star_relational,True,2.220446049250313e-16,41,3,14,11,46,20,3541250,399270,4107592,940866,1.2811654299432562,1.159927144369926
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,8,True,direct_star_relational,True,0.0,85,7,30,23,104,38,4722197,723860,4777390,1508110,1.1541377550767464,1.0116879918393917
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,12,True,direct_star_relational,True,1.4432899320127035e-15,129,11,46,35,161,55,5412597,1031583,6792323,4864702,1.8089229351135443,1.2549101660441373
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,4,True,chain_boundary_transfer,True,6.661338147750939e-16,25,3,10,10,48,23,2549708,458750,5524695,933805,2.146780842544586,2.1667951781145134
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,8,True,chain_boundary_transfer,True,9.992007221626409e-16,53,7,22,22,108,47,2851883,575376,3998759,1603624,1.6346541069700307,1.402146932395193
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,12,True,chain_boundary_transfer,True,7.771561172376096e-16,81,11,34,34,168,71,3009811,855187,4144378,4550979,2.249770116310539,1.3769562274840512
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,64,0,clifford_t,4,True,bounded_frontier_transfer,True,4.163336342344337e-17,33,5,9,5,16,7,1479096,383417,3977917,553513,2.4329655685624743,2.689424486307853
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,256,0,clifford_t,8,True,bounded_frontier_transfer,True,4.336808689942018e-18,65,10,18,9,33,11,3113586,676438,5611386,871231,1.7104422030045192,1.8022261148399306
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford_t,12,True,axis_hinge_cartan_pauli_sparse,True,0.0,97,1,27,12,50,14,5271023,1623334,4093572,2393803,0.9409688242137737,0.7766181251722863
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,16,0,hardware_efficient,4,True,topology_hardware_1d,True,8.881784197001252e-16,50,16,14,7,45,15,2643329,3286307,4292442,937922,0.8820716819717096,1.6238773153095964
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,8,True,topology_hardware_1d,True,1.5543122344752192e-15,106,32,30,11,94,20,4432301,7397865,6282857,2197137,0.7168110743331919,1.4175158681687006
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,12,True,topology_hardware_1d,True,2.1094237467877974e-15,162,32,46,15,141,23,6861137,11456414,5318896,5767752,0.6052472844213727,0.7752207833774489
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,256,0,random_sparse,4,True,bounded_frontier_transfer,True,1.249000902703301e-16,38,10,14,9,48,22,3312676,734155,4999896,967687,1.4746311373022496,1.5093223726075233
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,36,0,random_sparse,8,True,axis_hinge_cartan_pauli_sparse,True,1.8648277366750676e-17,76,36,28,12,89,28,5254318,1564264,5149101,2155495,1.071277869797562,0.9799751366399978
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,801,0,random_sparse,12,True,axis_hinge_cartan_pauli_sparse,True,8.131516293641283e-19,114,801,42,20,150,52,9838979,25439190,4747606,6148034,0.3088493623351031,0.48253035198062727
