optimization_applied,fallback_reason,verification_method,query_evaluation_basis,query_complexity_unit,largest_intermediate,promotion_count,family,n,rqm_available,rqm_method,exact_valid,abs_error,C_R,rqm_work_units,rqm_ops,rqm_depth,qiskit_ops,qiskit_depth,rqm_compile_ns,rqm_readout_ns,qiskit_compile_ns,aer_execute_ns,end_to_end_speedup,compile_speedup
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,4,0,local,4,True,bounded_frontier_transfer,True,0.0,16,0,4,1,12,3,1536151,3407601,802997986,1481864,162.72656266671925,522.7337589208353
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,4,0,local,8,True,bounded_frontier_transfer,True,4.336808689942018e-18,32,0,8,1,24,3,2639075,584805,4774569,1036920,1.802637845912713,1.8091824201315954
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,4,0,local,12,True,bounded_frontier_transfer,True,2.1141942363467336e-18,48,0,12,1,36,3,3726983,655521,5704498,2341623,1.8359643441324476,1.5305941830161285
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,256,0,clifford,4,True,bounded_frontier_transfer,True,1.3877787807814457e-17,31,5,9,5,28,12,1786553,1408168,6399930,899182,2.2847414086016573,3.5822772729727936
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,8,True,general_pauli_promoted,True,6.938893903907228e-18,65,1,19,9,58,16,2629932,5079052,6227240,1340462,0.9816730076445218,2.3678330846577023
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,12,True,general_pauli_promoted,True,1.2468324983583301e-18,99,1,29,13,88,20,2970655,4558194,4971405,3170455,1.0814216754778851,1.6735046647961476
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,4,True,direct_star_relational,True,2.220446049250313e-16,41,3,14,11,46,20,3384573,483192,5095584,1143973,1.6132205550233791,1.5055324556450695
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,8,True,direct_star_relational,True,0.0,85,7,30,23,104,38,4766046,1061907,5607212,1707914,1.255179283774313,1.1764912490887363
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,12,True,direct_star_relational,True,1.4432899320127035e-15,129,11,46,35,161,55,5869621,1091602,8009714,4436125,1.7878809100238693,1.3646049408807706
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,4,True,chain_boundary_transfer,True,6.661338147750939e-16,25,3,10,10,48,23,2185694,335219,5075872,2998209,3.202839764236258,2.3223161613656806
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,8,True,chain_boundary_transfer,True,9.992007221626409e-16,53,7,22,22,108,47,2666623,618721,5765423,1982325,2.358276180515648,2.162069028880348
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,12,True,chain_boundary_transfer,True,7.771561172376096e-16,81,11,34,34,168,71,3124817,858512,5014239,11999059,4.271125608755892,1.6046504483302542
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,64,0,clifford_t,4,True,bounded_frontier_transfer,True,4.163336342344337e-17,33,5,9,5,16,7,1422770,447133,4854469,742021,2.9929303838406636,3.411983520884078
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,256,0,clifford_t,8,True,bounded_frontier_transfer,True,4.336808689942018e-18,65,10,18,9,33,11,2216685,634614,4693827,1029679,2.0073326214941645,2.117498652266786
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford_t,12,True,axis_hinge_cartan_pauli_sparse,True,0.0,97,1,27,12,50,14,3893999,1063990,6693691,2661239,1.8868395142829568,1.7189761733374866
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,16,0,hardware_efficient,4,True,topology_hardware_1d,True,8.881784197001252e-16,50,16,14,7,45,15,2535455,3280861,6547434,1171733,1.327157402799521,2.5823508995426856
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,8,True,topology_hardware_1d,True,1.5543122344752192e-15,106,32,30,11,94,20,5322794,8868048,5992897,2002448,0.5634158084694407,1.1258930929883817
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,12,True,topology_hardware_1d,True,2.1094237467877974e-15,162,32,46,15,141,23,7230199,14356822,6368637,4032512,0.4818242405934566,0.880838480379309
True,,REGIONAL_COMPOSITION,verified_equivalent_input,frontier_operations,256,0,random_sparse,4,True,bounded_frontier_transfer,True,1.249000902703301e-16,38,10,14,9,48,22,3018191,648942,6883119,1466907,2.276989915965699,2.280544160302618
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,36,0,random_sparse,8,True,axis_hinge_cartan_pauli_sparse,True,1.8648277366750676e-17,76,36,28,12,89,28,4995667,1565190,7078040,1626222,1.3266956852289746,1.4168356881237592
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,801,0,random_sparse,12,True,axis_hinge_cartan_pauli_sparse,True,8.131516293641283e-19,114,801,42,20,150,52,9563900,27177743,5585168,4138500,0.26464979356938956,0.5839843795949152
