optimization_applied,fallback_reason,verification_method,query_evaluation_basis,query_complexity_unit,largest_intermediate,promotion_count,family,n,rqm_available,rqm_method,exact_valid,abs_error,C_R,rqm_work_units,rqm_ops,rqm_depth,qiskit_ops,qiskit_depth,rqm_compile_ns,rqm_readout_ns,qiskit_compile_ns,aer_execute_ns,end_to_end_speedup,compile_speedup
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,local,4,True,general_pauli_promoted,True,0.0,16,1,4,1,12,3,1352229,2373148,13277305,984433,3.82826666559295,9.81882513286391
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,local,8,True,general_pauli_promoted,True,4.336808689942018e-18,32,1,8,1,24,3,2208098,782079,5025324,866505,1.970394399663565,2.275860944577641
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,local,12,True,general_pauli_promoted,True,2.1141942363467336e-18,48,1,12,1,36,3,3924512,1135633,7535294,1948528,1.8742192294668207,1.920058850629072
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,clifford,4,True,general_pauli_promoted,True,1.3877787807814457e-17,31,1,9,5,28,12,2239765,4017920,10423976,926683,1.8138750341480088,4.654048973887885
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,clifford,8,True,general_pauli_promoted,True,6.938893903907228e-18,65,1,19,9,58,16,3621412,8541190,8894158,1499157,0.8545305227836508,2.455991550258359
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,clifford,12,True,general_pauli_promoted,True,1.2468324983583301e-18,99,1,29,13,88,20,2600089,4403132,5923735,3303637,1.3175897918971855,2.2782818203530724
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,,0,star,4,True,direct_star_relational,True,3.3306690738754696e-16,41,3,14,11,46,20,3335204,628466,5843627,1006321,1.7281831322760053,1.7521048187757031
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,,0,star,8,True,direct_star_relational,True,0.0,85,7,30,23,104,38,4274225,964054,5286881,1887413,1.3695899932019657,1.2369216641613392
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,,0,star,12,True,direct_star_relational,True,1.3322676295501878e-15,129,11,46,35,161,55,5249931,1300347,5930760,4475594,1.5886887413497959,1.129683406345397
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,,0,chain,4,True,chain_boundary_transfer,True,7.771561172376096e-16,25,3,10,10,48,23,2064510,876149,7906510,1119209,3.069284639939551,3.8297271507524786
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,,0,chain,8,True,chain_boundary_transfer,True,1.3322676295501878e-15,53,7,22,22,108,47,2541181,1715462,8077648,1841469,2.3302669896754344,3.178697782901379
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,,0,chain,12,True,chain_boundary_transfer,True,9.992007221626409e-16,81,11,34,34,168,71,3081868,2607785,5984386,4490040,1.8409601884402813,1.9418044605082923
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,clifford_t,4,True,general_pauli_promoted,True,4.163336342344337e-17,33,1,9,5,16,7,1304604,1034148,4876158,902693,2.4709124781079823,3.737653724808448
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,clifford_t,8,True,general_pauli_promoted,True,4.336808689942018e-18,65,1,18,9,33,11,2175971,2061731,5453418,1088012,1.543626764738676,2.5061999907167882
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,clifford_t,12,True,general_pauli_promoted,True,0.0,97,1,27,12,50,14,3299691,3256958,5799411,2399206,1.2504280006448416,1.7575619959565911
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,16,0,hardware_efficient,4,True,topology_hardware_1d,True,8.881784197001252e-16,50,16,14,7,45,15,2709936,3338503,4947673,1076030,0.9959103500993934,1.8257525591466812
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,8,True,topology_hardware_1d,True,1.5543122344752192e-15,106,32,30,11,94,20,4047825,6972009,4763826,1666690,0.5835402065248803,1.1768853643623427
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,12,True,topology_hardware_1d,True,2.1094237467877974e-15,162,32,46,15,141,23,7832034,15981844,9676613,4773578,0.6067970406416577,1.2355171571320325
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,random_sparse,4,True,general_pauli_promoted,True,1.249000902703301e-16,38,18,14,9,48,22,2687703,5702873,10135771,1458261,1.3817921807875775,3.7711643043959278
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,random_sparse,8,True,general_pauli_promoted,True,1.8648277366750676e-17,76,36,28,12,89,28,5000557,15523775,9057074,3376777,0.6058103133393087,1.8112131308572226
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,,0,random_sparse,12,True,general_pauli_promoted,True,8.131516293641283e-19,114,801,42,20,150,52,13389106,89759455,9489619,4060068,0.13136089217958163,0.70875673103193
